Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4344,CA,Butte (County),BANGOR,95914,54,48015.37815,27,1296415.21,7,2,1,5,12,19,407336.29,344897.39,29154,33284.9,6,2,11,8
4344,CA,Butte (County),BERRY CREEK,95916,2,0,1,0,1,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4344,CA,Butte (County),BIGGS,95917,10,0,5,0,5,0,0,0,0,1,500,$0.00,$0.00,500,1,0,0,0
4344,CA,Butte (County),CHICO,95926,66,0,21,0,21,0,0,0,0,3,1500,$0.00,$0.00,1500,3,0,0,0
4344,CA,Butte (County),CHICO,95927,1,0,1,0,1,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4344,CA,Butte (County),CHICO,95928,65,0,22,0,22,0,0,0,0,5,2500,$0.00,$0.00,2500,5,0,0,0
4344,CA,Butte (County),CHICO,95973,55,0,14,0,14,0,0,0,0,2,1000,$0.00,$0.00,1000,2,0,0,0
4344,CA,Butte (County),CLIPPER MILLS,95930,1,0,1,0,1,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4344,CA,Butte (County),DURHAM,95938,12,0,3,0,3,0,0,0,0,1,500,$0.00,$0.00,500,1,0,0,0
4344,CA,Butte (County),FOREST RANCH,95942,2,0,2,0,2,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4344,CA,Butte (County),GRIDLEY,95948,7,0,5,0,5,0,0,0,0,1,500,$0.00,$0.00,500,1,0,0,0
4344,CA,Butte (County),MAGALIA,95954,23,0,12,0,12,0,0,0,0,1,500,$0.00,$0.00,500,1,0,0,0
4344,CA,Butte (County),OROVILLE,95965,31,2782.525,18,50085.45,17,0,0,0,1,3,11333.91,$0.00,1570,9763.91,2,1,0,0
4344,CA,Butte (County),OROVILLE,95966,60,5030.562143,28,140855.74,25,0,0,0,3,4,45898.7,31114,6264,8520.7,2,1,1,1
