Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4332,TX,Aransas (County),ARANSAS PASS,78336,255,232,114,92,26,0,172,"$444,220.00",$0.00,"$205,254.00","$238,966.00",168,4,0,0
4332,TX,Aransas (County),BISHOP,78343,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),CEDAR PARK,78613,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),CITY BY THE SEA,78336,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),COLUMBUS,78934,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),CORPUS CHRISTI,78411,1,1,1,0,0,0,1,$300.00,$0.00,$0.00,$300.00,1,0,0,0
4332,TX,Aransas (County),CORPUS CHRISTI,78414,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),CORPUS CHRISTI,78415,1,1,1,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Aransas (County),CORPUS CHRISTI,78418,2,1,1,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Aransas (County),FULTON,78358,210,178,116,57,5,0,129,"$232,597.00",$0.00,"$142,157.00","$90,440.00",127,2,0,0
4332,TX,Aransas (County),FULTON,78382,51,45,33,11,1,0,28,"$41,835.00",$0.00,"$27,185.00","$14,650.00",28,0,0,0
4332,TX,Aransas (County),HOUSTON,77004,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),HOUSTON,77084,1,1,1,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Aransas (County),HOUSTON,77096,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),INGLESIDE,78362,5,4,3,1,0,0,2,"$2,929.00",$0.00,"$2,166.00",$763.00,2,0,0,0
4332,TX,Aransas (County),PORT ARANSAS,78373,3,3,1,1,1,0,2,"$3,428.00",$0.00,"$1,444.00","$1,984.00",2,0,0,0
4332,TX,Aransas (County),PORTLAND,78374,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),RANSAS PASS,78336,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),ROCKFORD,78382,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),ROCK PORT,78382,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),ROCKPORT,78381,3,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),ROCKPORT,78382,"3,209",2692,1411,964,317,0,2119,"$5,510,280.00","$30,537.00","$2,712,921.00","$2,766,823.00","2,070",48,1,0
4332,TX,Aransas (County),SANDIA,78383,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Aransas (County),TAFT,78390,2,1,0,1,0,0,1,"$7,872.00",$0.00,"$1,444.00","$6,428.00",1,0,0,0
4332,TX,Aransas (County),VICTORIA,77901,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),AUSTIN,78701,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),AUSTIN,78734,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),AUSTIN,78757,1,1,1,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Austin (County),AUSTIN,78758,2,2,2,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),AUSTIN TEXAS,77809,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),AUSTIN TEXAS,77870,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),BELLVILLE,77418,58,25,23,2,0,0,17,"$12,450.00",$0.00,"$2,448.00","$10,002.00",17,0,0,0
4332,TX,Austin (County),CAT SPRING,78933,3,2,2,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Austin (County),FRISCO,75035,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),HOUSTON,77036,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),INDUSTRY,78944,2,2,2,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),MAGNOLIA,77355,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),MURPHY,75094,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),NEW BRAUNFELS,78132,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),NEW ULM,78950,2,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),SAN FELIPE,77474,3,2,1,1,0,0,1,"$1,512.00",$0.00,$0.00,"$1,512.00",1,0,0,0
4332,TX,Austin (County),SEALY,77447,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),SEALY,77474,126,87,73,11,3,0,39,"$77,266.00",$0.00,"$22,866.00","$54,400.00",38,1,0,0
4332,TX,Austin (County),SIMONTON,77476,1,1,0,1,0,0,1,"$1,754.00",$0.00,"$1,754.00",$0.00,1,0,0,0
4332,TX,Austin (County),SIMONTON,77485,1,1,0,1,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Austin (County),SPRING,77380,1,1,1,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Austin (County),WALLIS,77485,48,29,22,7,0,0,16,"$52,689.00",$0.00,"$17,054.00","$35,635.00",15,1,0,0
4332,TX,Bastrop (County),BASTROP,78602,42,29,26,3,0,0,13,"$20,648.00",$0.00,"$6,840.00","$13,808.00",13,0,0,0
4332,TX,Bastrop (County),BASTROP,78612,1,0,0,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Bastrop (County),BAYAMON,961,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Bastrop (County),CEDAR CREEK,78612,23,14,11,3,0,0,7,"$12,144.00",$0.00,"$8,550.00","$3,594.00",7,0,0,0
4332,TX,Bastrop (County),DALE,78616,3,3,3,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Bastrop (County),ELGIN,78621,27,23,23,0,0,0,7,"$4,796.00",$0.00,$0.00,"$4,796.00",7,0,0,0
4332,TX,Bastrop (County),MANOR,78653,1,1,0,1,0,0,1,"$2,436.00",$0.00,"$1,936.00",$500.00,1,0,0,0
4332,TX,Bastrop (County),MCDADE,78650,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Bastrop (County),PAIGE,78659,4,4,3,1,0,0,2,"$4,232.00",$0.00,"$3,238.00",$994.00,2,0,0,0
4332,TX,Bastrop (County),ROSANKY,78953,2,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Bastrop (County),SMITHVILLE,78957,67,55,49,5,1,0,26,"$53,872.00",$0.00,"$25,891.00","$27,981.00",26,0,0,0
4332,TX,Bastrop (County),SPICEWOOD,78669,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
4332,TX,Bastrop (County),VICTORIA,77901,1,1,1,0,0,0,1,$500.00,$0.00,$0.00,$500.00,1,0,0,0
4332,TX,Bastrop (County),WEBBERVILLE,78621,1,1,0,1,0,0,1,"$17,004.00",$0.00,"$12,338.00","$4,666.00",0,1,0,0
4332,TX,Bee (County),BASTROP,78602,1,1,1,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,0,0,0
