latitude,longitude,eventName,hwmTypeName,countyName,sitePermHousing,elev_ft,height_above_gnd
27.83302,-97.06128,Harvey Aug 2017,Debris,Aransas County,No,9.727,3.85
27.83246,-97.0619,Harvey Aug 2017,Debris,Aransas County,No,10.285,4.5
27.83179,-97.0616,Harvey Aug 2017,Debris,Aransas County,No,9.667,3.75
27.82047,-97.0723,Harvey Aug 2017,Debris,Nueces County,No,11.366,6
27.82081,-97.07204,Harvey Aug 2017,Debris,Nueces County,No,11.712,6.17
27.82041,-97.07223,Harvey Aug 2017,Debris,Nueces County,No,12.022,6.42
27.80834,-97.08537,Harvey Aug 2017,Debris,Nueces County,No,9.914,4.38
27.80832,-97.08526,Harvey Aug 2017,Debris,Nueces County,No,9.931,4.75
27.80832,-97.08537,Harvey Aug 2017,Debris,Nueces County,No,8.906,5.08
27.78449,-97.10062,Harvey Aug 2017,Debris,Nueces County,No,9.805,4.25
27.7844,-97.10065,Harvey Aug 2017,Debris,Nueces County,No,9.754,4.33
27.70062,-97.15755,Harvey Aug 2017,Debris,Nueces County,No,9.27,2.92
27.70037,-97.15777,Harvey Aug 2017,Debris,Nueces County,No,9.298,3.29
27.7003,-97.15771,Harvey Aug 2017,Debris,Nueces County,No,8.988,3.25
27.60275,-97.24781,Harvey Aug 2017,Debris,Nueces County,No,5.933,0
27.60283,-97.24815,Harvey Aug 2017,Debris,Nueces County,No,5.435,0
27.60297,-97.24846,Harvey Aug 2017,Debris,Nueces County,No,5.355,0
28.22318,-96.98648,Harvey Aug 2017,Debris,Aransas County,No,7.307,0
28.22309,-96.98724,Harvey Aug 2017,Debris,Aransas County,No,7.378,0
28.13801,-97.00061,Harvey Aug 2017,Debris,Aransas County,No,9.993,0
28.13801,-97.00076,Harvey Aug 2017,Debris,Aransas County,No,10.47,0
28.13801,-97.00083,Harvey Aug 2017,Debris,Aransas County,No,10.57,0
28.13641,-97.00903,Harvey Aug 2017,Debris,Aransas County,No,7.466,0
28.13599,-97.00932,Harvey Aug 2017,Debris,Aransas County,No,7.775,0
28.13556,-97.00961,Harvey Aug 2017,Debris,Aransas County,No,8.352,0
27.8914444,-97.237333,Harvey Aug 2017,Debris,San Patricio County,No,19.492,
27.8914444,-97.237333,Harvey Aug 2017,Debris,San Patricio County,No,20.035,
27.8848333,-97.1541944,Harvey Aug 2017,Debris,San Patricio County,No,3.573,
27.83755,-97.21978,Harvey Aug 2017,Debris,San Patricio County,No,4.591,
27.9123611,-97.132305,Harvey Aug 2017,Debris,Aransas County,No,4.344,0
27.9452778,-97.1133611,Harvey Aug 2017,Debris,Aransas County,No,4.376,
28.078222,-97.0956388,Harvey Aug 2017,Debris,Aransas County,No,5.525,2.1
28.1113889,-97.026694,Harvey Aug 2017,Debris,Aransas County,No,5.384,0
28.1113889,-97.026694,Harvey Aug 2017,Debris,Aransas County,No,5.361,0
28.1011944,-97.04683,Harvey Aug 2017,Debris,Aransas County,No,6.295,2.45
28.1011944,-97.04683,Harvey Aug 2017,Debris,Aransas County,No,5.917,0
28.1058,-97.04627,Harvey Aug 2017,Debris,Aransas County,No,6.314,
28.1058,-97.04627,Harvey Aug 2017,Debris,Aransas County,No,6.497,
28.1058,-97.04627,Harvey Aug 2017,Debris,Aransas County,No,6.27,
28.1058,-97.04627,Harvey Aug 2017,Debris,Aransas County,No,6.195,
27.80834,-97.08537,Harvey Aug 2017,Debris,Nueces County,No,9.254,0
27.80834,-97.08537,Harvey Aug 2017,Seed line,Nueces County,No,9.155,
27.80834,-97.08537,Harvey Aug 2017,Seed line,Nueces County,No,9.255,
27.70062,-97.15755,Harvey Aug 2017,Seed line,Nueces County,No,8.454,
27.70062,-97.15755,Harvey Aug 2017,Seed line,Nueces County,No,8.473,
28.88948,-95.78597,Harvey Aug 2017,Debris,Matagorda County,No,17.31,0
28.88994,-95.78543,Harvey Aug 2017,Debris,Matagorda County,No,17.74,0
28.88991,-95.78545,Harvey Aug 2017,Debris,Matagorda County,No,17.49,2.1
28.8556,-95.82755,Harvey Aug 2017,Debris,Matagorda County,No,10.91,0
28.85557,-95.82765,Harvey Aug 2017,Debris,Matagorda County,No,10.93,0
28.8557,-95.8275,Harvey Aug 2017,Seed line,Matagorda County,No,10.96,0
28.84031,-95.85192,Harvey Aug 2017,Mud,Matagorda County,No,10.61,0
28.83907,-95.85317,Harvey Aug 2017,Debris,Matagorda County,No,10.53,0
28.84031,-95.85192,Harvey Aug 2017,Debris,Matagorda County,No,10.51,0
28.141115,-96.97707,Harvey Aug 2017,Debris,Aransas County,No,5.493,0
28.13911,-96.97765,Harvey Aug 2017,Debris,Aransas County,No,5.005,0
28.13047,-96.9786,Harvey Aug 2017,Debris,Aransas County,No,9.759,0
28.13047,-96.9786,Harvey Aug 2017,Debris,Aransas County,No,9.274,0
28.39027,-96.83914,Harvey Aug 2017,Debris,Refugio County,No,10.659,0
28.39095,-96.83952,Harvey Aug 2017,Mud,Refugio County,No,26.767,1.45
28.36242,-96.81599,Harvey Aug 2017,Debris,Refugio County,No,13.993,0
28.36242,-96.81599,Harvey Aug 2017,Debris,Refugio County,No,14.391,1.9
28.30976,-96.80207,Harvey Aug 2017,Debris,Aransas County,No,6.578,0
28.29549,-96.80878,Harvey Aug 2017,Debris,Aransas County,No,6.296,0
28.2907,-96.80999,Harvey Aug 2017,Debris,Aransas County,No,11.56,0
28.28769,-96.80939,Harvey Aug 2017,Debris,Aransas County,No,12.53,0
28.25105,-96.75983,Harvey Aug 2017,Debris,Calhoun County,No,5.76,1.3
28.25105,-96.75983,Harvey Aug 2017,Debris,Calhoun County,No,6.38,1.3
28.25105,-96.75983,Harvey Aug 2017,Debris,Calhoun County,No,5.96,2.8
28.27291,-96.96024,Harvey Aug 2017,Debris,Aransas County,No,8.26,0
28.4459,-96.88142,Harvey Aug 2017,Debris,Refugio County,No,30.16,0
28.44521,-96.87794,Harvey Aug 2017,Debris,Refugio County,No,29.91,0
28.4431,-96.87292,Harvey Aug 2017,Debris,Refugio County,No,33.41,0
28.4784,-96.86281,Harvey Aug 2017,Debris,Calhoun County,No,10.62,0
